,DATE,ENTRIES
473,08/25/2018,1115661545514
474,08/26/2017,1103435529132
475,08/26/2018,1192306179082
476,08/27/2016,967682360652
477,08/27/2017,1105430222532
478,08/27/2018,1114237052454
479,08/28/2016,963582991122
480,08/28/2017,1150010169119
481,08/28/2018,1143313287046
482,08/29/2016,975228478812
483,08/29/2017,1156107135912
484,08/29/2018,1123655222441
485,08/30/2016,970990913002
486,08/30/2017,1143986260877
487,08/30/2018,1122723988662
488,08/31/2016,959821903909
489,08/31/2017,1141883278580
490,08/31/2018,1110224700078
491,09/01/2016,990532758036
492,09/01/2017,1126549716912
493,09/01/2018,1101010319805
494,09/02/2016,982991480256
495,09/02/2017,1110318644678
496,09/02/2018,1100692385093
497,09/03/2016,962696878900
498,09/03/2017,1108771165145
499,09/03/2018,1102588746053
500,09/04/2016,959867714522
501,09/04/2017,1104369368189
502,09/04/2018,1103960293011
503,09/05/2016,961733923763
504,09/05/2017,1151482403812
505,09/05/2018,1109560495047
506,09/06/2016,1011576961943
507,09/06/2017,1114865506972
508,09/06/2018,1105307028832
509,09/07/2016,989060398761
510,09/07/2017,1117214183920
511,09/07/2018,1107425987280
512,09/08/2016,1034919086682
513,09/08/2017,1084489197519
514,09/08/2018,1109367044546
515,09/09/2016,1002741294064
516,09/09/2017,1103968714202
517,09/09/2018,1108061925301
518,09/10/2016,967445607671
519,09/10/2017,1127630374692
520,09/10/2018,1111673809598
521,09/11/2016,969417000485
522,09/11/2017,1109486531626
523,09/11/2018,1108226180559
524,09/12/2016,986509217838
525,09/12/2017,1110994881211
526,09/12/2018,1110611470773
527,09/13/2016,971163327131
528,09/13/2017,1147036214486
529,09/13/2018,1137327415041
530,09/14/2016,959786444766
531,09/14/2017,1142188213558
532,09/14/2018,1107285355092
533,09/15/2016,958745230331
534,09/15/2017,1135663101376
535,09/15/2018,1110184856412
536,09/16/2016,1000751648970
537,09/16/2017,1118106196221
538,09/16/2018,1114081666523
539,09/17/2016,980464391239
540,09/17/2017,1115283974162
541,09/17/2018,1107853521531
542,09/18/2016,984416823550
543,09/18/2017,1126146373349
544,09/18/2018,1156553518059
545,09/19/2016,989722217520
546,09/19/2017,1116907629038
547,09/19/2018,1133053670224
548,09/20/2016,998371923273
549,09/20/2017,1139556167336
550,09/20/2018,1113496738415
551,09/21/2016,1025293550142
552,09/21/2017,1145369856572
553,09/21/2018,1106956116185
554,09/22/2016,986465272100
555,09/22/2017,1119144595954
556,09/22/2018,1108803160661
557,09/23/2016,982748809615
558,09/23/2017,1117123088417
559,09/23/2018,1105329409294
560,09/24/2016,986141022900
561,09/24/2017,1118919185951
562,09/24/2018,1117547625110
563,09/25/2016,984875068942
564,09/25/2017,1119925893557
565,09/25/2018,1122753812525
566,09/26/2016,1011621102434
567,09/26/2017,1183227494945
568,09/26/2018,1151221878513
569,09/27/2016,1038639152465
570,09/27/2017,1153481342810
571,09/27/2018,1131439789801
572,09/28/2016,1023435363163
573,09/28/2017,1149526649965
574,09/28/2018,1145293885159
575,09/29/2016,1001270124669
576,09/29/2017,1132215253355
577,09/29/2018,1107181798703
578,09/30/2016,988633662859
579,09/30/2017,1118152505614
580,09/30/2018,1109622796453
581,10/01/2016,986083742770
582,10/01/2017,1116829506030
583,10/01/2018,1111245964143
584,10/02/2016,987513655718
585,10/02/2017,1121664792880
586,10/02/2018,1124915988966
587,10/03/2016,1003346712189
588,10/03/2017,1116169740929
589,10/03/2018,1133072506885
590,10/04/2016,977266172663
591,10/04/2017,1158436297311
592,10/04/2018,1109146427606
593,10/05/2016,989129161914
594,10/05/2017,1121419122859
595,10/05/2018,1135907428557
596,10/06/2016,970484507088
597,10/06/2017,1120107480727
598,10/06/2018,1115840287714
599,10/07/2016,992557874672
600,10/07/2017,1112613778982
601,10/07/2018,1108682588297
602,10/08/2016,976007479128
603,10/08/2017,1106248662273
604,10/08/2018,1110364318659
605,10/09/2016,973222699971
606,10/09/2017,1122884436022
607,10/09/2018,1166611107359
608,10/10/2016,981179887811
609,10/10/2017,1107814349906
610,10/10/2018,1119264451622
611,10/11/2016,973283634485
612,10/11/2017,1111260999782
613,10/11/2018,1121627747837
614,10/12/2016,983423994202
615,10/12/2017,1113052589758
616,10/12/2018,1087861304223
617,10/13/2016,985782513527
618,10/13/2017,1156088250912
619,10/13/2018,1123953752166
620,10/14/2016,981488636746
621,10/14/2017,1111462286966
622,10/14/2018,1094298154412
623,10/15/2016,975453967264
624,10/15/2017,1110179639115
625,10/15/2018,1161595685591
626,10/16/2016,970173062602
627,10/16/2017,1112849534702
628,10/16/2018,1098423522788
629,10/17/2016,974071424617
630,10/17/2017,1116326293411
631,10/17/2018,1126588097353
632,10/18/2016,993173008098
633,10/18/2017,1125346599092
634,10/18/2018,1099577802057
635,10/19/2016,986070349961
636,10/19/2017,1136603175040
637,10/19/2018,1121780155401
638,10/20/2016,979699557145
639,10/20/2017,1118685373899
640,10/20/2018,1094592406505
641,10/21/2016,969209934069
642,10/21/2017,1113190110639
643,10/21/2018,1108535423627
644,10/22/2016,982075876448
645,10/22/2017,1105865336860
646,10/22/2018,1126058815591
647,10/23/2016,980311108848
648,10/23/2017,1110493249731
649,10/23/2018,1126882100209
650,10/24/2016,1022261530113
651,10/24/2017,1103400023062
652,10/24/2018,1114568107816
653,10/25/2016,997528459823
654,10/25/2017,1111304094034
655,10/25/2018,1119762318980
656,10/26/2016,986699663127
657,10/26/2017,1116612658680
658,10/26/2018,1114439450726
659,10/27/2016,986656669631
660,10/27/2017,1142238151288
661,10/27/2018,1094471939042
662,10/28/2016,980749292740
663,10/28/2017,1104360842521
664,10/28/2018,1089232450954
665,10/29/2016,972969996684
666,10/29/2017,1104386240279
667,10/29/2018,1115200089087
668,10/30/2016,971744779442
669,10/30/2017,1106642450220
670,10/30/2018,1094208482188
671,10/31/2016,986017259344
672,10/31/2017,1116621964710
673,10/31/2018,1126674989337
674,11/01/2016,981620442703
675,11/01/2017,1152179841683
676,11/01/2018,1122120116339
677,11/02/2016,972940854684
678,11/02/2017,1149326887762
679,11/02/2018,1079421586908
680,11/03/2016,982854614190
681,11/03/2017,1121222218962
682,11/04/2016,973096211959
683,11/04/2017,1109992124637
684,11/05/2016,972770423851
685,11/05/2017,1225401398371
686,11/06/2016,1076817747814
687,11/06/2017,1112824433555
688,11/07/2016,993907218397
689,11/07/2017,1136511391590
690,11/08/2016,978959261381
691,11/08/2017,1137724496208
692,11/09/2016,982230913900
693,11/09/2017,1123971702562
694,11/10/2016,980310783913
695,11/10/2017,1107321821017
696,11/11/2016,1003145371223
697,11/11/2017,1105799337365
698,11/12/2016,969190499238
699,11/12/2017,1106864514447
700,11/13/2016,969205939483
701,11/13/2017,1131497790368
702,11/14/2016,985444413964
703,11/14/2017,1124249279475
704,11/15/2016,983932445293
705,11/15/2017,1161755216697
706,11/16/2016,977311696367
707,11/16/2017,1120307384690
708,11/17/2016,981180644062
709,11/17/2017,1134681649523
710,11/18/2016,981398979636
711,11/18/2017,1115184734346
712,11/19/2016,976932823294
713,11/19/2017,1114021596073
714,11/20/2016,975621208357
715,11/20/2017,1131388266557
716,11/21/2016,993028420207
717,11/21/2017,1138192636925
718,11/22/2016,978006357564
719,11/22/2017,1102408926318
720,11/23/2016,990130711464
721,11/23/2017,1101477129454
722,11/24/2016,975856065792
723,11/24/2017,1115744320568
724,11/25/2016,974223545014
725,11/25/2017,1120485387036
726,11/26/2016,971291117914
727,11/26/2017,1116326693595
728,11/27/2016,974366857873
729,11/27/2017,1111260693438
730,11/28/2016,990497474066
731,11/28/2017,1134246110426
732,11/29/2016,985021599702
733,11/29/2017,1114822288684
734,11/30/2016,977395162739
735,11/30/2017,1130794301169
736,12/01/2016,978674546900
737,12/01/2017,1143169978501
738,12/02/2016,973818114693
739,12/02/2017,1127754194305
740,12/03/2016,976415589070
741,12/03/2017,1134914591145
742,12/04/2016,975814012207
743,12/04/2017,1150939026352
744,12/05/2016,986657545078
745,12/05/2017,1124000039634
746,12/06/2016,987223895471
747,12/06/2017,1158154450651
748,12/07/2016,981431767780
749,12/07/2017,1178334787259
750,12/08/2016,978082950809
751,12/08/2017,1118649391574
752,12/09/2016,976460090668
753,12/09/2017,1114392569993
754,12/10/2016,980266763712
755,12/10/2017,1114129144757
756,12/11/2016,978095955315
757,12/11/2017,1127291374897
758,12/12/2016,986818556917
759,12/12/2017,1122405076957
760,12/13/2016,990010367212
761,12/13/2017,1147408169294
762,12/14/2016,1262400812149
763,12/14/2017,1166024035469
764,12/15/2016,986344453982
765,12/15/2017,1173324888860
766,12/16/2016,988042411338
767,12/16/2017,1106311353960
768,12/17/2016,985035402899
769,12/17/2017,1102503988168
770,12/18/2016,978346381277
771,12/18/2017,1109118930975
772,12/19/2016,989256595707
773,12/19/2017,1107076598052
774,12/20/2016,989534824625
775,12/20/2017,1143651620213
776,12/21/2016,979180329383
777,12/21/2017,1177788382674
778,12/22/2016,986066921106
779,12/22/2017,1159051680183
780,12/23/2016,981652890327
781,12/23/2017,1105692756112
782,12/24/2016,976946043969
783,12/24/2017,1111939481637
784,12/25/2016,980578977862
785,12/25/2017,1121129850590
786,12/26/2016,980678482607
787,12/26/2017,1129809956336
788,12/27/2016,1008446237399
789,12/27/2017,1152532190852
790,12/28/2016,994014028203
791,12/28/2017,1127188750215
792,12/29/2016,987655896289
793,12/29/2017,1118543966895
794,12/30/2016,987176108988
795,12/30/2017,1124225355929
796,12/31/2016,991870678636
797,12/31/2017,1121053855551
